	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.5534990999099909	0.31582979726544086	0.23921499292786413	0.2210553425284725	0.2196817947690723	0.2545928003204944
PL_002	0.5622679455445545	0.4336734693877551	0.3461415816326531	0.3243347772277228	0.31953898514851486	0.31969368811881194
PL_003	0.5459999999999999	0.21764705882352942	0.2764705882352941	0.20901960784313725	0.20509803921568628	0.21450980392156863
PL_004	0.5206235647412117	0.46612394957983194	0.3664988517929694	0.3665871754107049	0.3715332980038863	0.38434022257551675
PL_005	0.563929292929293	0.4380497714575927	0.28702317290552587	0.29352177234530175	0.30183346065699007	0.34824038706391647
PL_006	0.5180966574409197	0.4374460742018982	0.40638481449525454	0.3934426229508196	0.3988352027610009	0.39322691975841234
PL_007	0.48781179138321995	0.4465130023640662	0.3460401891252955	0.32291666666666663	0.3292824074074074	0.35127314814814814
PL_008	0.5910087719298246	0.4786184210526316	0.4446271929824561	0.4369517543859649	0.4424342105263158	0.4385964912280701
PL_009	0.5299014304603917	0.43305084745762723	0.25991705733862247	0.2691128741435269	0.25727250871498986	0.3195396081259767
PL_010	0.6094836146971201	0.5085650446871895	0.47939424031777567	0.47740814299900697	0.48920059582919573	0.4973932472691162
PL_011	0.6094674556213018	0.4169230769230769	0.3861538461538462	0.4107692307692308	0.3769230769230769	0.3984615384615385
PL_012	0.5797371303395401	0.34510932105868813	0.2896432681242809	0.3042128603104212	0.27627494456762747	0.31729490022172946
PL_013	0.5206473214285714	0.471797052154195	0.3402777777777778	0.3289620535714286	0.33290816326530615	0.3828125
PL_014	0.5620745355947847	0.4377967711301044	0.3950617283950617	0.3685897435897435	0.38983855650522314	0.46794871794871795
PL_015	0.56409629326296	0.47795989906256064	0.4045195385499568	0.39887891693975347	0.4054996060699483	0.41768479506122086
PL_016	0.5394895388322927	0.46888655345981534	0.3832070357873777	0.32114689451199474	0.3682495344506518	0.39462153576514414
PL_017	0.5984392282167875	0.45793000744601636	0.427368809143419	0.41827454835934624	0.4246651099913973	0.4234361558313875
PL_018	0.5724608724608725	0.44976525821596247	0.3401073105298458	0.3429242119382965	0.3430583501006037	0.35848423876592894
PL_019	0.5813886210221794	0.4440677966101695	0.3261545940690325	0.3085561497326203	0.3039863879436072	0.3265435099659699
PL_020	0.5274725274725275	0.44329255650010363	0.3680281982168775	0.34350834350834347	0.3782051282051282	0.3893976393976394
PL_021	0.5310211332194128	0.45634833137881986	0.24994390123495336	0.2134377518346735	0.25312938545837804	0.4070701634494948
PL_022	0.4931623931623932	0.4183970856102004	0.34444444444444444	0.2850694444444445	0.3125	0.38581196581196575
PL_023	0.48946629213483145	0.4327107279693486	0.3255906768837803	0.28105044699872284	0.3222381864623244	0.2901500638569604
PL_024	0.5119047619047618	0.5027777777777778	0.35277777777777775	0.3444444444444444	0.29166666666666663	0.33888888888888885
PL_025	0.55762987012987	0.45292207792207784	0.4448051948051947	0.4517045454545454	0.4586038961038961	0.45819805194805185
PL_026	0.3658339547601293	0.32449978714346533	0.23595146871008943	0.21424010217113668	0.2344614729672201	0.19699872286079187
PL_027	0.5567567567567568	0.45901826484018265	0.26058558558558564	0.26801801801801806	0.25743243243243247	0.2912162162162163
PL_028	0.5585587396004984	0.4444668983913992	0.35688303289952306	0.3447174844394148	0.3450812383800824	0.3743432220515722
PL_029	0.5716254849908107	0.42704160246533135	0.31242248863166594	0.30135797426996125	0.3100454733360893	0.3271901163977946
PL_030	0.5508613617719442	0.4657681940700809	0.34511405237961135	0.25088870659010115	0.2629204265791633	0.3479628110473065
PL_031	0.45283446712018144	0.3189675870348139	0.22131519274376418	0.26031746031746034	0.21451247165532877	0.28662131519274375
PL_032	0.5093240093240093	0.43221690590111644	0.38655788655788664	0.37878787878787884	0.38111888111888115	0.3951048951048951
PL_033	0.600383631713555	0.5326086956521741	0.48849104859335035	0.4910485933503836	0.48849104859335035	0.5159846547314578
PL_034	0.5582291666666667	0.44890624999999995	0.36359374999999994	0.35838541666666657	0.3481770833333333	0.3663541666666667
PL_035	0.6416666666666667	0.36363636363636365	0.34280303030303033	0.3500631313131314	0.3276515151515152	0.3595328282828283
PL_036	0.4861111111111111	0.37083333333333335	0.28750000000000003	0.2785087719298246	0.2828947368421053	0.29166666666666674
PL_037	0.49668367346938774	0.40104166666666663	0.2767857142857143	0.2645408163265306	0.24464285714285716	0.2997448979591837
PL_038	0.5206511175898931	0.43658892128279886	0.36613216715257535	0.3748785228377065	0.3816812439261419	0.43658892128279886
PL_039	0.5605794556628622	0.4274217149546386	0.31094527363184077	0.3036289142522681	0.3062628036289142	0.30831138425519466
PL_040	0.5721267273340073	0.40415785764622975	0.350547195622435	0.3040873854827344	0.3150105708245244	0.4164138860802157
PL_041	0.5218878248974008	0.43939393939393945	0.32381959126145177	0.33439041578576467	0.3234672304439747	0.35499316005471954
PL_042	0.39444444444444443	0.3833333333333333	0.31666666666666665	0.31666666666666665	0.33333333333333326	0.31666666666666665
PL_043	0.5639404788543299	0.45765899247777525	0.3589582858445407	0.3555781391147245	0.36303071364046974	0.39588979223125575
PL_044	0.5182102037187153	0.4410334346504559	0.23269515191745566	0.20556283039914644	0.22303169291384045	0.3668957665029249
PL_045	0.5721153846153846	0.4246361746361747	0.3012820512820513	0.3555226824457594	0.326923076923077	0.34960552268244577
PL_046	0.6134437596302004	0.505970724191063	0.49942218798151006	0.5017334360554698	0.4990369799691834	0.4986517719568567
PL_047	0.5317836812144212	0.4625907092536681	0.3675679949399115	0.3688593717056715	0.3654859793379717	0.3621652962260173
PL_048	0.5423648864726575	0.4715106574216743	0.3815238247521586	0.39185321394307643	0.39746562200191876	0.3998001279181324
PL_049	0.5335972754363559	0.4662222222222222	0.33675213675213683	0.330242656449553	0.3448717948717949	0.3959557258407833
PL_050	0.5351190476190476	0.406832298136646	0.3204968944099379	0.33035714285714285	0.35059523809523807	0.3214285714285714
PL_051	0.5236785329018339	0.43801742919389974	0.3281014023732471	0.32982740021574974	0.3412621359223301	0.37621359223300976
PL_052	0.5703871292106585	0.450197238658777	0.33157365510306686	0.3064353946706888	0.32855706385118144	0.33810960281548513
PL_053	0.5538455051442064	0.40461073318216173	0.20079365079365083	0.20446112329229213	0.19828042328042325	0.21543355634264721
