	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.5307155715571557	0.31582979726544086	0.23791843470061289	0.22122703599839752	0.21973902592571398	0.25465003147713605
PL_002	0.5628063725490196	0.4336734693877551	0.3419961734693877	0.3244894801980198	0.33114170792079206	0.31984839108910895
PL_003	0.6319999999999999	0.21764705882352942	0.2780392156862745	0.20901960784313725	0.2027450980392157	0.21450980392156863
PL_004	0.5273361596891009	0.46612394957983194	0.3779809220985692	0.3756845080374493	0.3686186186186187	0.38434022257551675
PL_005	0.5746161616161616	0.4380497714575927	0.2984721161191749	0.29340972752737454	0.2952635599694423	0.34824038706391647
PL_006	0.5404513519267619	0.4374460742018982	0.41026747195858493	0.39322691975841234	0.4074633304572907	0.39322691975841234
PL_007	0.5705782312925172	0.4465130023640662	0.3631796690307329	0.32291666666666663	0.3414351851851852	0.35127314814814814
PL_008	0.5482456140350876	0.4786184210526316	0.4435307017543859	0.4369517543859649	0.4375	0.4385964912280701
PL_009	0.5439656208678926	0.43305084745762723	0.2662279120086549	0.2692330808991466	0.25697199182594066	0.3195396081259767
PL_010	0.6196623634558093	0.5085650446871895	0.4791459781529295	0.47864945382323737	0.48311817279046676	0.4973932472691162
PL_011	0.6272189349112426	0.4169230769230769	0.39538461538461533	0.4107692307692308	0.3646153846153846	0.3984615384615385
PL_012	0.514895947426068	0.34510932105868813	0.29355581127733027	0.3042128603104212	0.27804878048780485	0.31729490022172946
PL_013	0.5111607142857143	0.471797052154195	0.3462301587301587	0.33149092970521543	0.3663548752834467	0.3828125
PL_014	0.5494980962270681	0.4377967711301044	0.3950617283950617	0.37132003798670465	0.4018281101614435	0.46794871794871795
PL_015	0.5651674401674402	0.47795989906256064	0.4029228848620484	0.3993756113527977	0.40091136764140567	0.41768479506122086
PL_016	0.5435973271990361	0.46888655345981534	0.37825654073787274	0.3232007886953664	0.37641034067258183	0.39462153576514414
PL_017	0.5684527467125478	0.45793000744601636	0.4083200196632666	0.4181516529433452	0.4281061816394248	0.4234361558313875
PL_018	0.6007659007659008	0.44976525821596247	0.3376928236083166	0.3420523138832998	0.34312541918175726	0.35848423876592894
PL_019	0.597685631629701	0.4440677966101695	0.29863879436071944	0.3079727758872144	0.3189596499756928	0.3265435099659699
PL_020	0.5335775335775337	0.44329255650010363	0.3597346050176239	0.34320309320309317	0.35887260887260886	0.3893976393976394
PL_021	0.5302970622025274	0.45634833137881986	0.2533878775934703	0.21359385274610773	0.25383081392966483	0.4070701634494948
PL_022	0.5174358974358975	0.4183970856102004	0.36375227686703104	0.28055555555555567	0.30208333333333337	0.38581196581196575
PL_023	0.5248456790123457	0.4327107279693486	0.321918901660281	0.28711685823754785	0.3203224776500639	0.2899904214559387
PL_024	0.5171957671957671	0.5027777777777778	0.3333333333333333	0.3416666666666666	0.3277777777777777	0.33888888888888885
PL_025	0.5600649350649352	0.45292207792207784	0.4399350649350649	0.4545454545454545	0.45576298701298695	0.45819805194805185
PL_026	0.7585756897837436	0.32449978714346533	0.22360578969774372	0.21636866751809283	0.23765432098765435	0.1976372924648787
PL_027	0.5454444444444445	0.45901826484018265	0.2686936936936937	0.26801801801801806	0.2623873873873874	0.2912162162162163
PL_028	0.5550219042642981	0.4444668983913992	0.35284132244765987	0.3437070568264489	0.3487996119957966	0.3743432220515722
PL_029	0.5836226260976107	0.42704160246533135	0.3026560562215791	0.30217480089850934	0.3085469202149649	0.3271901163977946
PL_030	0.5262510254306811	0.4657681940700809	0.33891861447479577	0.2497949138638228	0.2856166256494395	0.3479628110473065
PL_031	0.5206349206349206	0.3189675870348139	0.24126984126984125	0.26031746031746034	0.22086167800453516	0.28662131519274375
PL_032	0.5559440559440559	0.43221690590111644	0.3857808857808858	0.378010878010878	0.3834498834498835	0.3951048951048951
PL_033	0.5728900255754475	0.5326086956521741	0.4987212276214833	0.4910485933503836	0.4865728900255754	0.5159846547314578
PL_034	0.5234375	0.44890624999999995	0.36906249999999996	0.3598437499999999	0.34229166666666666	0.3663541666666667
PL_035	0.5549768518518517	0.36363636363636365	0.35132575757575757	0.3500631313131314	0.3339646464646465	0.3595328282828283
PL_036	0.6051587301587301	0.37083333333333335	0.39254385964912286	0.2785087719298246	0.29166666666666663	0.29166666666666674
