	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.5598559855985596	0.31582979726544086	0.24009900990099006	0.22116980484175586	0.22145596062496425	0.25465003147713605
PL_002	0.6063112745098039	0.4336734693877551	0.34454719387755106	0.3244894801980198	0.32000309405940597	0.31969368811881194
PL_003	0.5166666666666666	0.21764705882352942	0.26941176470588235	0.20901960784313725	0.21058823529411763	0.21450980392156863
PL_004	0.5265412471294824	0.46612394957983194	0.3595212859918743	0.37162162162162166	0.38124889595477834	0.38434022257551675
PL_005	0.5707676767676768	0.4380497714575927	0.2970766488413547	0.29321619556913675	0.2972803666921314	0.34824038706391647
PL_006	0.5327868852459016	0.4374460742018982	0.39926660914581535	0.39279551337359786	0.3951682484900776	0.39322691975841234
PL_007	0.5440307328605201	0.4465130023640662	0.3472222222222222	0.3223379629629629	0.3211805555555556	0.35127314814814814
PL_008	0.5762061403508771	0.4786184210526316	0.45175438596491224	0.4369517543859649	0.4369517543859649	0.4385964912280701
PL_009	0.530863084505349	0.43305084745762723	0.2528248587570622	0.27103618223344156	0.2524041351123934	0.3195396081259767
PL_010	0.6151936444885798	0.5085650446871895	0.47989076464746777	0.47765640516385305	0.47529791459781534	0.4973932472691162
PL_011	0.5984615384615383	0.4169230769230769	0.3892307692307692	0.4107692307692308	0.4046153846153846	0.3984615384615385
PL_012	0.562869660460022	0.34510932105868813	0.29033371691599535	0.3044345898004434	0.27272727272727265	0.31729490022172946
PL_013	0.53125	0.471797052154195	0.35246598639455784	0.33177437641723356	0.3598356009070295	0.3828125
PL_014	0.5191008618681574	0.4377967711301044	0.40159069325735985	0.36965811965811957	0.40159069325735985	0.46794871794871795
PL_015	0.561948311948312	0.47795989906256064	0.4016840033950301	0.3990178391319076	0.40065826282556316	0.41768479506122086
PL_016	0.5441450323146018	0.46888655345981534	0.38049670888876597	0.3218315259064519	0.3688793953335524	0.39462153576514414
PL_017	0.5881160132727049	0.45793000744601636	0.42441931915939535	0.41962639793535705	0.419872188767359	0.4234361558313875
PL_018	0.5925074925074925	0.44976525821596247	0.33856472166331325	0.34258886653252857	0.3422535211267606	0.35848423876592894
PL_019	0.5307618129218901	0.4440677966101695	0.3127369956246961	0.3086533787068546	0.30797277588721433	0.3265435099659699
PL_020	0.5364265364265366	0.44329255650010363	0.3773584905660377	0.34289784289784286	0.3752850922662243	0.3893976393976394
PL_021	0.5113186781359516	0.45634833137881986	0.25098782608016956	0.21333433498084836	0.2543735697218734	0.4070701634494948
PL_022	0.5003418803418804	0.4183970856102004	0.34663023679417126	0.28194444444444444	0.3149305555555556	0.38581196581196575
PL_023	0.5099094881398252	0.4327107279693486	0.3249521072796935	0.2850415070242656	0.32990102171136654	0.2899904214559387
PL_024	0.5277777777777778	0.5027777777777778	0.36111111111111105	0.33888888888888885	0.29999999999999993	0.33888888888888885
PL_025	0.575892857142857	0.45292207792207784	0.45048701298701294	0.44845779220779214	0.44724025974025966	0.45819805194805185
PL_026	0.5416134525329928	0.32449978714346533	0.23254576415495962	0.21594295444870157	0.22935291613452535	0.19699872286079187
PL_027	0.555855855855856	0.45901826484018265	0.26103603603603615	0.26711711711711716	0.2788288288288289	0.2912162162162163
PL_028	0.5538965475664162	0.4444668983913992	0.35397300137418153	0.3485166922641662	0.3555492684504082	0.3743432220515722
PL_029	0.5717275883193793	0.42704160246533135	0.309011988424969	0.3028384725342046	0.30513642000826785	0.3271901163977946
PL_030	0.5232430954334155	0.4657681940700809	0.37496479864826804	0.2495214656822532	0.2615531856713153	0.3465955701394585
PL_031	0.5387525796835588	0.3189675870348139	0.21972789115646257	0.26031746031746034	0.21836734693877552	0.28662131519274375
PL_032	0.5233100233100233	0.43221690590111644	0.3927738927738928	0.3803418803418804	0.3881118881118882	0.3951048951048951
PL_033	0.5818414322250639	0.5326086956521741	0.4942455242966751	0.4910485933503836	0.4955242966751917	0.5159846547314578
PL_034	0.5484895833333334	0.44890624999999995	0.37104166666666666	0.3596874999999999	0.34781249999999997	0.3663541666666667
PL_035	0.518939393939394	0.36363636363636365	0.3488005050505051	0.3500631313131314	0.3276515151515152	0.3595328282828283
PL_036	0.613095238095238	0.37083333333333335	0.287280701754386	0.2785087719298246	0.2960526315789473	0.29166666666666674
PL_037	0.5155612244897959	0.40104166666666663	0.27372448979591835	0.2645408163265306	0.2517857142857143	0.2997448979591837
PL_038	0.5512633624878523	0.43658892128279886	0.3773080660835763	0.3777939747327503	0.3389212827988338	0.43658892128279886
PL_039	0.5763827919227391	0.4274217149546386	0.3062628036289142	0.3042142230026339	0.30304360550190224	0.30831138425519466
PL_040	0.5488709133805191	0.40415785764622975	0.35636114911080713	0.3040873854827344	0.313601127554616	0.4164138860802157
PL_041	0.5386456908344734	0.43939393939393945	0.32699083861874567	0.33439041578576467	0.32593375616631437	0.35499316005471954
PL_042	0.6833333333333333	0.3833333333333333	0.33333333333333326	0.31666666666666665	0.33333333333333326	0.31666666666666665
PL_043	0.5803871112105617	0.45765899247777525	0.3629473444267153	0.3556910569105692	0.3617886178861789	0.39588979223125575
PL_044	0.5201339956905212	0.4410334346504559	0.2178632568214373	0.20586999046187174	0.22386772255825071	0.3668957665029249
PL_045	0.5625	0.4246361746361747	0.3131163708086785	0.351577909270217	0.3160749506903353	0.34960552268244577
PL_046	0.5972650231124806	0.505970724191063	0.49672573189522345	0.5009630200308165	0.4998073959938367	0.4986517719568567
PL_047	0.5338920514442336	0.4625907092536681	0.3730497575374236	0.3687539531941809	0.3747628083491461	0.3621652962260173
PL_048	0.5339542692676686	0.4715106574216743	0.3856172049888072	0.3921410297409658	0.3961384713783178	0.3998001279181324
PL_049	0.5494508301404853	0.4662222222222222	0.3396410256410256	0.3270923797360578	0.3430598290598291	0.3959557258407833
PL_050	0.5613095238095238	0.406832298136646	0.3503105590062112	0.32976190476190476	0.37142857142857144	0.3214285714285714
PL_051	0.5250809061488673	0.43801742919389974	0.3495685005393743	0.3282092772384035	0.3482740021574973	0.37621359223300976
PL_052	0.5678733031674207	0.450197238658777	0.332579185520362	0.2973856209150327	0.332579185520362	0.33810960281548513
PL_053	0.5389750941698994	0.40461073318216173	0.19845049130763415	0.2045923052416559	0.19320672713529857	0.21537733550720561
PL_054	0.5542319582134101	0.4337168277343151	0.24277496548550392	0.2271130541494094	0.24900291455744744	0.3287007209694739
PL_055	0.5387667887667886	0.44431057563587684	0.24346617238183502	0.24492843167541964	0.2515600864998455	0.3556894243641232
PL_056	0.5467198554869788	0.41420363482415556	0.2498382170612961	0.23649036862318185	0.23698025340953766	0.3497847358121331
