"","Network","NoOrder","MR","Krisk","Kdegree","Degree","eigenc"
"1","PL_001",0.705547792300745,0.312141740489839,0.423397602918187,0.411502261337245,0.396222955628896,0.45355091064662
"2","PL_002",0.726925872093023,0.358803353658537,0.47046493902439,0.464285714285714,0.455171130952381,0.485491071428571
"3","PL_003",0.595,0.28962962962963,0.348888888888889,0.308888888888889,0.323703703703704,0.356296296296296
"4","PL_004",0.834150326797386,0.282085561497326,0.657679738562091,0.670751633986928,0.655228758169935,0.790032679738562
"5","PL_005",0.773598484848485,0.275512572533849,0.483961722488038,0.519827751196172,0.491502392344498,0.55733971291866
"6","PL_006",0.749758919961427,0.248975409836066,0.453893442622951,0.487704918032787,0.434426229508197,0.542008196721312
"7","PL_007",0.727430555555556,0.329365079365079,0.5,0.493518518518519,0.469444444444444,0.576851851851852
"8","PL_008",0.869617224880383,0.52511961722488,0.726076555023923,0.70933014354067,0.711722488038278,0.721291866028708
"9","PL_009",0.848693502824859,0.358327192336035,0.668255649717514,0.631709039548023,0.647598870056497,0.685734463276836
"10","PL_010",0.908531409168082,0.600382003395586,0.695033955857385,0.70437181663837,0.699702886247878,0.714983022071307
"11","PL_011",0.697802197802198,0.387573964497041,0.428994082840237,0.399408284023669,0.399408284023669,0.428994082840237
"12","PL_012",0.668652037617555,0.271636363636364,0.386545454545455,0.342207792207792,0.348701298701299,0.36038961038961
"13","PL_013",0.85218253968254,0.435267857142857,0.8125,0.796875,0.755828373015873,0.721230158730159
"14","PL_014",0.696140279473613,0.272554605887939,0.49335232668566,0.561728395061728,0.483618233618234,0.698005698005698
"15","PL_015",0.918042087889416,0.379175329175329,0.663068838068838,0.657934857934858,0.662837837837838,0.685897435897436
"16","PL_016",0.877524709926945,0.364059590316574,0.726606145251397,0.697464546626558,0.672002578427159,0.710786420283627
"17","PL_017",0.850379746835443,0.370253164556962,0.488860759493671,0.51873417721519,0.489620253164557,0.553164556962025
"18","PL_018",0.857142857142857,0.445112781954887,0.619423558897243,0.624937343358396,0.626315789473684,0.650375939849624
