"Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"M_PL_001.csv",177,72,22,22,22,23,22
"M_PL_002.csv",103,44,14,12,13,15,12
"M_PL_003.csv",61,19,5,5,6,6,5
"M_PL_004.csv",112,49,3,3,3,3,3
"M_PL_005.csv",361,126,25,30,36,42,25
"M_PL_006.csv",78,33,3,3,3,3,3
"M_PL_007.csv",50,18,5,4,4,4,4
"M_PL_008.csv",49,21,6,7,7,11,6
"M_PL_009.csv",142,48,7,8,8,12,7
"M_PL_010.csv",107,47,24,29,29,32,24
"M_PL_011.csv",27,13,4,6,6,6,4
"M_PL_012.csv",84,26,7,7,7,7,7
"M_PL_013.csv",65,24,4,4,4,5,4
"M_PL_014.csv",108,38,6,5,5,6,5
"M_PL_015.csv",793,287,48,56,60,87,48
"M_PL_016.csv",205,84,9,9,10,17,9
"M_PL_017.csv",104,49,9,10,11,11,9
"M_PL_018.csv",144,41,18,19,23,24,18
"M_PL_019.csv",123,41,14,15,16,18,14
"M_PL_020.csv",109,43,3,3,3,3,3
"M_PL_021.csv",766,221,12,12,12,38,12
"M_PL_022.csv",66,15,4,4,4,4,4
"M_PL_023.csv",90,27,3,3,3,3,3
"M_PL_024.csv",22,10,4,4,3,3,3
"M_PL_025.csv",57,28,6,6,6,10,6
"M_PL_026.csv",150,53,2,2,2,2,2
"M_PL_027.csv",75,23,9,8,9,11,8
"M_PL_028.csv",180,63,13,14,16,24,13
"M_PL_029.csv",167,65,17,17,17,19,17
"M_PL_030.csv",70,22,11,7,7,13,7
"M_PL_031.csv",91,25,9,7,13,17,7
"M_PL_032.csv",40,14,2,2,2,2,2
"M_PL_033.csv",47,22,9,8,10,12,8
"M_PL_034.csv",151,54,6,7,8,9,6
"M_PL_035.csv",97,31,9,8,9,9,8
"M_PL_036.csv",22,5,3,2,2,2,2
"M_PL_037.csv",50,22,5,5,5,7,5
"M_PL_038.csv",50,14,4,4,4,7,4
"M_PL_039.csv",68,24,6,7,9,10,6
"M_PL_040.csv",70,26,8,7,9,10,7
"M_PL_041.csv",70,28,10,10,11,12,10
"M_PL_042.csv",16,4,2,2,2,2,2
"M_PL_043.csv",110,32,12,14,14,19,12
"M_PL_044.csv",712,221,21,23,25,49,21
"M_PL_045.csv",41,11,6,5,7,8,5
"M_PL_046.csv",60,25,11,13,13,14,11
"M_PL_047.csv",205,64,4,4,4,4,4
"M_PL_048.csv",266,93,10,10,9,12,9
"M_PL_049.csv",262,99,11,13,15,16,11
"M_PL_050.csv",49,14,6,6,7,7,6
"M_PL_051.csv",104,13,3,3,3,3,3
"M_PL_052.csv",52,20,6,6,6,7,6
"M_PL_053.csv",364,108,19,23,23,34,19
"M_PL_054.csv",414,139,23,26,27,30,23
"M_PL_055.csv",253,72,16,16,17,19,16
"M_PL_056.csv",456,122,22,29,33,43,22
"M_PL_057.csv",997,258,17,17,20,36,17
