"Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"M_PL_001.csv",177,53,22,23,22,23,22
"M_PL_002.csv",103,33,13,13,13,15,13
"M_PL_003.csv",61,20,5,5,6,6,5
"M_PL_004.csv",112,51,3,3,3,3,3
"M_PL_005.csv",361,135,25,30,36,42,25
"M_PL_006.csv",78,17,3,3,3,3,3
"M_PL_007.csv",50,20,5,4,4,4,4
"M_PL_008.csv",49,24,6,7,7,11,6
"M_PL_009.csv",142,40,7,8,8,12,7
"M_PL_010.csv",107,50,24,29,29,32,24
"M_PL_011.csv",27,13,4,4,6,6,4
"M_PL_012.csv",84,17,7,7,7,7,7
"M_PL_013.csv",65,22,4,4,4,5,4
"M_PL_014.csv",108,49,6,5,5,6,5
"M_PL_015.csv",793,315,48,56,60,87,48
"M_PL_016.csv",205,88,9,9,10,17,9
"M_PL_017.csv",104,43,9,11,11,11,9
"M_PL_018.csv",144,57,18,19,23,24,18
"M_PL_019.csv",123,41,14,16,16,18,14
"M_PL_020.csv",109,50,3,3,3,3,3
"M_PL_021.csv",766,244,12,12,12,38,12
"M_PL_022.csv",66,9,4,4,4,4,4
"M_PL_023.csv",90,40,3,3,3,3,3
"M_PL_024.csv",22,6,4,4,3,3,3
"M_PL_025.csv",57,26,6,6,6,10,6
"M_PL_026.csv",150,40,2,2,2,2,2
"M_PL_027.csv",75,25,8,8,9,11,8
"M_PL_028.csv",180,55,13,14,16,24,13
"M_PL_029.csv",167,65,17,17,17,19,17
"M_PL_030.csv",70,27,10,7,7,13,7
"M_PL_031.csv",91,33,10,9,13,17,9
"M_PL_032.csv",40,10,2,2,2,2,2
"M_PL_033.csv",47,18,8,8,10,12,8
"M_PL_034.csv",151,55,6,7,8,9,6
"M_PL_035.csv",97,36,9,8,9,9,8
"M_PL_036.csv",22,5,5,2,2,2,2
"M_PL_037.csv",50,19,5,5,5,7,5
"M_PL_038.csv",50,16,4,4,4,7,4
"M_PL_039.csv",68,19,6,7,9,10,6
"M_PL_040.csv",70,21,8,7,9,10,7
"M_PL_041.csv",70,25,10,10,11,12,10
"M_PL_042.csv",16,5,2,2,2,2,2
"M_PL_043.csv",110,45,12,14,14,19,12
"M_PL_044.csv",712,181,21,23,25,49,21
"M_PL_045.csv",41,15,6,6,7,8,6
"M_PL_046.csv",60,26,11,11,13,14,11
"M_PL_047.csv",205,52,4,4,4,4,4
"M_PL_048.csv",266,117,10,10,9,12,9
"M_PL_049.csv",262,75,11,13,15,16,11
