"Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"M_PL_001.csv",177,66,22,22,22,23,22
"M_PL_002.csv",103,34,15,12,13,15,12
"M_PL_003.csv",61,21,5,5,6,6,5
"M_PL_004.csv",112,43,3,3,3,3,3
"M_PL_005.csv",361,124,25,30,36,42,25
"M_PL_006.csv",78,33,3,3,3,3,3
"M_PL_007.csv",50,19,5,4,4,4,4
"M_PL_008.csv",49,20,6,7,7,11,6
"M_PL_009.csv",142,49,7,8,8,12,7
"M_PL_010.csv",107,43,23,29,29,32,23
"M_PL_011.csv",27,14,4,5,6,6,4
"M_PL_012.csv",84,31,7,7,7,7,7
"M_PL_013.csv",65,11,4,4,4,5,4
"M_PL_014.csv",108,42,6,5,5,6,5
"M_PL_015.csv",793,301,48,56,60,87,48
"M_PL_016.csv",205,88,9,9,10,17,9
"M_PL_017.csv",104,34,9,10,11,11,9
"M_PL_018.csv",144,58,18,19,23,24,18
"M_PL_019.csv",123,45,14,15,16,18,14
"M_PL_020.csv",109,37,3,3,3,3,3
"M_PL_021.csv",766,140,12,12,12,38,12
"M_PL_022.csv",66,18,4,4,4,4,4
"M_PL_023.csv",90,22,3,3,3,3,3
"M_PL_024.csv",22,11,4,3,3,3,3
"M_PL_025.csv",57,12,6,6,6,10,6
"M_PL_026.csv",150,31,2,2,2,2,2
"M_PL_027.csv",75,29,8,8,9,11,8
"M_PL_028.csv",180,72,13,14,16,24,13
"M_PL_029.csv",167,48,17,17,17,19,17
"M_PL_030.csv",70,25,11,7,7,13,7
"M_PL_031.csv",91,23,10,8,13,17,8
"M_PL_032.csv",40,13,2,2,2,2,2
"M_PL_033.csv",47,19,8,8,10,12,8
"M_PL_034.csv",151,68,6,7,8,9,6
"M_PL_035.csv",97,35,9,10,9,9,9
"M_PL_036.csv",22,4,3,2,2,2,2
"M_PL_037.csv",50,13,5,5,5,7,5
"M_PL_038.csv",50,7,4,4,4,7,4
"M_PL_039.csv",68,26,6,6,9,10,6
"M_PL_040.csv",70,29,8,7,9,10,7
"M_PL_041.csv",70,25,10,10,11,12,10
"M_PL_042.csv",16,8,2,2,2,2,2
"M_PL_043.csv",110,37,12,14,14,19,12
"M_PL_044.csv",712,201,21,23,25,49,21
"M_PL_045.csv",41,14,6,6,7,8,6
"M_PL_046.csv",60,27,11,12,13,14,11
"M_PL_047.csv",205,72,4,4,4,4,4
"M_PL_048.csv",266,114,10,10,9,12,9
"M_PL_049.csv",262,102,11,13,15,16,11
"M_PL_050.csv",49,19,6,6,7,7,6
"M_PL_051.csv",104,44,3,3,3,3,3
"M_PL_052.csv",52,20,6,6,6,7,6
