"Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"M_PL_001.csv",177,59,21,23,22,23,21
"M_PL_002.csv",103,37,15,13,13,15,13
"M_PL_003.csv",61,22,5,5,6,6,5
"M_PL_004.csv",112,24,3,3,3,3,3
"M_PL_005.csv",361,137,25,31,36,42,25
"M_PL_006.csv",78,34,3,3,3,3,3
"M_PL_007.csv",50,14,5,4,4,4,4
"M_PL_008.csv",49,24,6,7,7,11,6
"M_PL_009.csv",142,45,7,7,8,12,7
"M_PL_010.csv",107,44,23,29,29,32,23
"M_PL_011.csv",27,11,4,6,6,6,4
"M_PL_012.csv",84,26,7,7,7,7,7
"M_PL_013.csv",65,17,4,4,4,5,4
"M_PL_014.csv",108,35,6,5,5,6,5
"M_PL_015.csv",793,293,48,56,60,87,48
"M_PL_016.csv",205,87,9,9,10,17,9
"M_PL_017.csv",104,44,9,10,11,11,9
"M_PL_018.csv",144,50,18,19,23,24,18
"M_PL_019.csv",123,44,14,15,16,18,14
"M_PL_020.csv",109,17,3,3,3,3,3
"M_PL_021.csv",766,278,12,12,12,38,12
"M_PL_022.csv",66,27,4,4,4,4,4
"M_PL_023.csv",90,23,3,3,3,3,3
"M_PL_024.csv",22,9,4,4,3,3,3
"M_PL_025.csv",57,24,6,6,6,10,6
"M_PL_026.csv",150,57,2,2,2,2,2
"M_PL_027.csv",75,28,9,8,9,11,8
"M_PL_028.csv",180,55,13,14,16,24,13
"M_PL_029.csv",167,40,17,17,17,19,17
"M_PL_030.csv",70,24,11,7,7,13,7
"M_PL_031.csv",91,28,10,8,13,17,8
"M_PL_032.csv",40,18,2,2,2,2,2
"M_PL_033.csv",47,20,8,8,10,12,8
"M_PL_034.csv",151,62,6,8,8,9,6
"M_PL_035.csv",97,41,9,9,9,9,9
"M_PL_036.csv",22,7,5,2,2,2,2
"M_PL_037.csv",50,15,5,5,5,7,5
"M_PL_038.csv",50,19,4,4,4,7,4
"M_PL_039.csv",68,30,6,6,9,10,6
"M_PL_040.csv",70,24,8,7,9,10,7
"M_PL_041.csv",70,29,10,10,11,12,10
"M_PL_042.csv",16,8,2,2,2,2,2
"M_PL_043.csv",110,48,12,14,14,19,12
"M_PL_044.csv",712,147,21,23,25,49,21
"M_PL_045.csv",41,15,6,5,7,8,5
"M_PL_046.csv",60,30,11,13,13,14,11
"M_PL_047.csv",205,66,4,4,4,4,4
"M_PL_048.csv",266,87,10,10,9,12,9
"M_PL_049.csv",262,87,11,13,15,16,11
"M_PL_050.csv",49,19,6,6,7,7,6
"M_PL_051.csv",104,47,3,3,3,3,3
"M_PL_052.csv",52,16,6,6,6,7,6
"M_PL_053.csv",364,139,19,22,23,34,19
"M_PL_054.csv",414,150,23,24,27,30,23
"M_PL_055.csv",253,89,16,16,17,19,16
"M_PL_056.csv",456,137,22,28,33,43,22
"M_PL_057.csv",997,373,17,17,20,36,17
"M_PL_058.csv",111,48,14,18,19,20,14
"M_PL_059.csv",26,13,6,5,5,5,5
"M_SD_001.csv",28,11,3,3,3,5,3
"M_SD_002.csv",40,15,5,5,5,5,5
"M_SD_003.csv",41,19,4,4,4,4,4
"M_SD_004.csv",52,21,4,4,4,4,4
"M_SD_005.csv",34,11,3,3,3,3,3
"M_SD_006.csv",34,16,4,5,5,5,4
"M_SD_007.csv",79,20,3,3,3,3,3
"M_SD_008.csv",26,12,9,8,8,11,8
"M_SD_009.csv",25,9,3,4,4,5,3
"M_SD_010.csv",64,30,8,8,9,13,8
"M_SD_011.csv",25,9,6,6,5,6,5
"M_SD_012.csv",64,28,13,13,12,14,12
"M_SD_013.csv",55,24,11,8,19,14,8
"M_SD_014.csv",33,17,9,10,10,10,9
"M_SD_015.csv",32,15,4,4,4,4,4
"M_SD_016.csv",85,38,17,18,20,23,17
"M_SD_017.csv",24,12,6,6,10,10,6
"M_SD_018.csv",53,23,5,5,5,5,5
"M_SD_019.csv",209,66,13,17,20,21,13
"M_SD_020.csv",58,27,8,9,10,10,8
"M_SD_021.csv",46,22,9,10,10,10,9
"M_SD_022.csv",317,140,39,50,53,60,39
"M_SD_023.csv",23,10,4,4,4,4,4
"M_SD_024.csv",19,10,6,6,7,8,6
"M_SD_025.csv",13,6,4,4,4,4,4
"M_SD_026.csv",6,2,2,2,2,2,2
"M_SD_027.csv",16,8,3,3,3,3,3
"M_SD_028.csv",13,5,3,3,3,3,3
"M_SD_029.csv",9,3,2,2,2,2,2
"M_SD_030.csv",9,3,2,2,2,2,2
"M_PL_001.csv",177,73,21,22,22,23,21
"M_PL_002.csv",103,38,16,12,13,15,12
"M_PL_003.csv",61,20,5,5,6,6,5
"M_PL_004.csv",112,37,3,3,3,3,3
"M_PL_005.csv",361,152,25,31,36,42,25
"M_PL_006.csv",78,24,3,3,3,3,3
"M_PL_007.csv",50,17,5,4,4,4,4
"M_PL_008.csv",49,22,6,7,7,11,6
"M_PL_009.csv",142,51,7,7,8,12,7
"M_PL_010.csv",107,46,23,29,29,32,23
"M_PL_011.csv",27,12,4,4,6,6,4
"M_PL_012.csv",84,30,7,7,7,7,7
"M_PL_013.csv",65,30,4,4,4,5,4
"M_PL_014.csv",108,38,6,5,5,6,5
"M_PL_015.csv",793,348,48,56,60,87,48
"M_PL_016.csv",205,95,9,9,10,17,9
"M_PL_017.csv",104,48,9,11,11,11,9
"M_PL_018.csv",144,50,18,19,23,24,18
"M_PL_019.csv",123,48,14,15,16,18,14
"M_PL_020.csv",109,38,3,3,3,3,3
"M_PL_021.csv",766,266,12,12,12,38,12
"M_PL_022.csv",66,13,4,4,4,4,4
"M_PL_023.csv",90,24,3,3,3,3,3
"M_PL_024.csv",22,9,4,4,3,3,3
"M_PL_025.csv",57,27,6,6,6,10,6
"M_PL_026.csv",150,58,2,2,2,2,2
"M_PL_027.csv",75,25,9,8,9,11,8
"M_PL_028.csv",180,68,13,14,16,24,13
"M_PL_029.csv",167,65,17,17,17,19,17
"M_PL_030.csv",70,21,11,7,7,13,7
"M_PL_031.csv",91,30,9,8,13,17,8
"M_PL_032.csv",40,17,2,2,2,2,2
"M_PL_033.csv",47,22,9,8,10,12,8
"M_PL_034.csv",151,39,6,8,8,9,6
"M_PL_035.csv",97,37,9,8,9,9,8
"M_PL_036.csv",22,8,4,2,2,2,2
"M_PL_037.csv",50,23,5,5,5,7,5
"M_PL_038.csv",50,15,4,4,4,7,4
"M_PL_039.csv",68,23,6,7,9,10,6
"M_PL_040.csv",70,27,9,7,9,10,7
"M_PL_041.csv",70,31,10,10,11,12,10
"M_PL_042.csv",16,6,2,2,2,2,2
"M_PL_043.csv",110,38,12,14,14,19,12
"M_PL_044.csv",712,213,21,23,25,49,21
"M_PL_045.csv",41,12,6,6,7,8,6
"M_PL_046.csv",60,21,11,11,13,14,11
"M_PL_047.csv",205,65,4,4,4,4,4
"M_PL_048.csv",266,82,10,10,9,12,9
"M_PL_049.csv",262,100,11,13,15,16,11
"M_PL_050.csv",49,15,6,7,7,7,6
"M_PL_051.csv",104,41,3,3,3,3,3
"M_PL_052.csv",52,20,6,6,6,7,6
"M_PL_053.csv",364,102,19,22,23,34,19
"M_PL_054.csv",414,143,23,25,27,30,23
"M_PL_055.csv",253,88,16,17,17,19,16
"M_PL_056.csv",456,133,22,29,33,43,22
"M_PL_057.csv",997,289,17,17,20,36,17
"M_PL_058.csv",111,47,14,18,19,20,14
"M_PL_059.csv",26,13,6,5,5,5,5
"M_SD_001.csv",28,13,3,3,3,5,3
"M_SD_002.csv",40,18,5,5,5,5,5
"M_SD_003.csv",41,15,4,4,4,4,4
"M_SD_004.csv",52,21,4,4,4,4,4
"M_SD_005.csv",34,12,3,3,3,3,3
"M_SD_006.csv",34,10,4,4,5,5,4
"M_SD_007.csv",79,33,3,3,3,3,3
"M_SD_008.csv",26,12,10,8,8,11,8
"M_SD_009.csv",25,6,3,4,4,5,3
"M_SD_010.csv",64,28,8,8,9,13,8
"M_SD_011.csv",25,11,6,5,5,6,5
"M_SD_012.csv",64,22,13,12,12,14,12
"M_SD_013.csv",55,26,11,8,19,14,8
"M_SD_014.csv",33,15,9,10,10,10,9
"M_SD_015.csv",32,16,4,4,4,4,4
"M_SD_016.csv",85,41,17,18,20,23,17
"M_SD_017.csv",24,12,9,7,10,10,7
"M_SD_018.csv",53,19,4,5,5,5,4
"M_SD_019.csv",209,92,13,17,20,21,13
"M_SD_020.csv",58,16,8,10,10,10,8
"M_SD_021.csv",46,20,9,10,10,10,9
"M_SD_022.csv",317,130,39,50,53,60,39
"M_SD_023.csv",23,8,4,4,4,4,4
"M_SD_024.csv",19,8,5,6,7,8,5
"M_SD_025.csv",13,6,4,4,4,4,4
"M_SD_026.csv",6,2,2,2,2,2,2
"M_SD_027.csv",16,7,3,3,3,3,3
"M_SD_028.csv",13,4,3,3,3,3,3
"M_SD_029.csv",9,4,2,2,2,2,2
"M_SD_030.csv",9,4,2,3,2,2,2
"M_PL_001.csv",177,61,21,23,22,23,21
"M_PL_002.csv",103,34,14,12,13,15,12
"M_PL_003.csv",61,19,5,6,6,6,5
"M_PL_004.csv",112,42,3,3,3,3,3
"M_PL_005.csv",361,128,25,31,36,42,25
"M_PL_006.csv",78,34,3,3,3,3,3
"M_PL_007.csv",50,17,5,4,4,4,4
"M_PL_008.csv",49,16,6,7,7,11,6
"M_PL_009.csv",142,33,7,7,8,12,7
"M_PL_010.csv",107,48,24,29,29,32,24
"M_PL_011.csv",27,12,4,4,6,6,4
"M_PL_012.csv",84,29,7,7,7,7,7
"M_PL_013.csv",65,24,4,4,4,5,4
"M_PL_014.csv",108,31,6,5,5,6,5
"M_PL_015.csv",793,279,48,56,60,87,48
"M_PL_016.csv",205,77,9,9,10,17,9
"M_PL_017.csv",104,28,9,11,11,11,9
"M_PL_018.csv",144,55,18,19,23,24,18
"M_PL_019.csv",123,47,14,16,16,18,14
"M_PL_020.csv",109,42,3,3,3,3,3
"M_PL_021.csv",766,293,12,12,12,38,12
"M_PL_022.csv",66,12,4,4,4,4,4
"M_PL_023.csv",90,35,3,3,3,3,3
"M_PL_024.csv",22,7,4,4,3,3,3
"M_PL_025.csv",57,16,6,6,6,10,6
"M_PL_026.csv",150,64,2,2,2,2,2
"M_PL_027.csv",75,25,9,8,9,11,8
"M_PL_028.csv",180,68,13,14,16,24,13
