	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.666195190947666	0.31214174048983856	0.4168837936425222	0.41150226133724477	0.3941449700525609	0.4535509106466201
PL_002	0.7261991279069767	0.3588033536585366	0.469702743902439	0.46391369047619047	0.46056547619047616	0.4854910714285714
PL_003	0.7088888888888889	0.28962962962962957	0.3414814814814815	0.3088888888888889	0.32666666666666666	0.3562962962962963
PL_004	0.7042483660130718	0.2820855614973263	0.6936274509803921	0.6797385620915033	0.6462418300653594	0.790032679738562
PL_005	0.7762488038277512	0.27551257253384914	0.4663923444976077	0.5195980861244018	0.4892057416267943	0.5573397129186604
PL_006	0.834619093539055	0.24897540983606553	0.43032786885245894	0.4897540983606557	0.46209016393442615	0.5420081967213115
PL_007	0.7430555555555555	0.3293650793650793	0.501984126984127	0.4842592592592593	0.4601851851851852	0.5768518518518517
PL_008	0.8720095693779903	0.5251196172248804	0.7069377990430622	0.7093301435406699	0.7284688995215312	0.7212918660287081
PL_009	0.8923022598870056	0.3583271923360353	0.6560734463276837	0.6317090395480227	0.674081920903955	0.6857344632768362
PL_010	0.9000424448217318	0.6003820033955856	0.6839983022071308	0.7039473684210527	0.6984295415959253	0.7149830220713073
PL_011	0.8296703296703297	0.38757396449704146	0.4289940828402367	0.3994082840236687	0.39349112426035504	0.4289940828402367
PL_012	0.7827586206896552	0.27163636363636373	0.3807272727272727	0.3409090909090909	0.36233766233766235	0.36038961038961037
PL_013	0.8303571428571428	0.43526785714285715	0.8147321428571429	0.7212301587301586	0.8147321428571428	0.7212301587301586
PL_014	0.6843337590464027	0.2725546058879392	0.48338081671415006	0.5626780626780626	0.48100664767331436	0.6980056980056979
PL_015	0.916746899571327	0.3791753291753292	0.6716909216909217	0.6576923076923076	0.6574266574266574	0.6858974358974359
PL_016	0.8304684142672968	0.36405959031657353	0.7104283054003724	0.6981091534164161	0.6888697894284487	0.7107864202836269
PL_017	0.8245569620253165	0.3702531645569621	0.49949367088607594	0.5182278481012658	0.48632911392405065	0.5531645569620253
PL_018	0.8978021978021978	0.44511278195488724	0.6090225563909775	0.6245614035087719	0.6275689223057643	0.650375939849624
PL_019	0.7532352941176469	0.3473604826546003	0.5585218702865762	0.5383107088989442	0.5386123680241327	0.565761689291101
PL_020	0.7351648351648352	0.2673992673992674	0.5274725274725275	0.5412087912087911	0.4912087912087912	0.6005494505494504
PL_021	0.7449234664891977	0.17612251072235768	0.5283675321670731	0.50900500080084	0.5067912867790625	0.6207330335838459
PL_022	0.6947089947089947	0.2511111111111111	0.49111111111111105	0.4988888888888889	0.4444444444444444	0.7444444444444445
PL_023	0.7931763285024155	0.228505291005291	0.47312801932367154	0.7019927536231884	0.4344806763285024	0.8064613526570048
PL_024	0.6994949494949495	0.4111111111111111	0.561111111111111	0.5499999999999999	0.5222222222222221	0.5444444444444444
PL_025	0.8872377622377621	0.43444055944055954	0.604020979020979	0.6634615384615385	0.6057692307692307	0.6791958041958043
