	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.6586515794436586	0.31214174048983856	0.42717561229807194	0.4108910891089109	0.39487837672656156	0.4536731450922869
PL_002	0.7447311046511628	0.3588033536585366	0.47427591463414637	0.462797619047619	0.4575892857142857	0.4854910714285714
PL_003	0.7422222222222223	0.28962962962962957	0.3385185185185185	0.3088888888888889	0.3340740740740741	0.3562962962962963
PL_004	0.8382352941176471	0.2820855614973263	0.7156862745098038	0.6625816993464051	0.6625816993464051	0.790032679738562
PL_005	0.7751893939393939	0.27551257253384914	0.47883253588516744	0.519444976076555	0.49418181818181817	0.5573397129186604
PL_006	0.825940212150434	0.24897540983606553	0.4579918032786885	0.4887295081967213	0.43442622950819665	0.5420081967213115
PL_007	0.7656249999999999	0.3293650793650793	0.4861111111111111	0.4953703703703704	0.46759259259259256	0.5768518518518517
PL_008	0.7930622009569378	0.5251196172248804	0.7236842105263158	0.7093301435406699	0.7093301435406699	0.7212918660287081
PL_009	0.8167372881355931	0.3583271923360353	0.6514830508474576	0.6327683615819211	0.6663135593220338	0.6857344632768362
PL_010	0.9132003395585737	0.6003820033955856	0.6899405772495757	0.7039473684210527	0.6946095076400679	0.7149830220713073
PL_011	0.7197802197802198	0.38757396449704146	0.4289940828402367	0.3994082840236687	0.39349112426035504	0.4289940828402367
PL_012	0.58	0.27163636363636373	0.3785454545454545	0.33961038961038964	0.34740259740259744	0.36038961038961037
PL_013	0.8224206349206349	0.43526785714285715	0.8415178571428571	0.7232142857142856	0.8013392857142857	0.7212301587301586
PL_014	0.657088122605364	0.2725546058879392	0.48860398860398857	0.5622032288698955	0.47245963912630573	0.6980056980056979
PL_015	0.9460204479288449	0.3791753291753292	0.6624162624162624	0.6578655578655579	0.6532340032340033	0.6858974358974359
PL_016	0.8762354963472282	0.36405959031657353	0.7146182495344506	0.6974645466265579	0.680704770090245	0.7107864202836269
PL_017	0.8873417721518988	0.3702531645569621	0.48025316455696193	0.5182278481012658	0.4873417721518987	0.5531645569620253
