	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.6884724186704384	0.31214174048983856	0.4204012506513809	0.41223566801124556	0.40037892678156706	0.4536731450922869
PL_002	0.7083938953488373	0.3588033536585366	0.4765625	0.4642857142857143	0.4609375	0.4854910714285714
PL_003	0.5833333333333333	0.28962962962962957	0.34444444444444444	0.3088888888888889	0.32666666666666666	0.3562962962962963
PL_004	0.8472222222222221	0.2820855614973263	0.6290849673202614	0.6617647058823528	0.6446078431372548	0.790032679738562
PL_005	0.793939393939394	0.27551257253384914	0.4939138755980861	0.5196363636363637	0.4882488038277512	0.5573397129186604
PL_006	0.8288331726133076	0.24897540983606553	0.43749999999999994	0.48668032786885246	0.43340163934426224	0.5420081967213115
PL_007	0.7777777777777777	0.3293650793650793	0.5079365079365079	0.48981481481481487	0.44166666666666665	0.5768518518518517
PL_008	0.9102870813397128	0.5251196172248804	0.7260765550239233	0.7093301435406699	0.7165071770334929	0.7212918660287081
PL_009	0.8234463276836159	0.3583271923360353	0.6581920903954802	0.6317090395480227	0.6437146892655368	0.6857344632768362
PL_010	0.9000424448217318	0.6003820033955856	0.6971561969439728	0.7043718166383701	0.70776740237691	0.7149830220713073
PL_011	0.8351648351648352	0.38757396449704146	0.41124260355029585	0.3994082840236687	0.3994082840236687	0.4289940828402367
PL_012	0.6379310344827586	0.27163636363636373	0.3894545454545454	0.3435064935064935	0.33441558441558444	0.36038961038961037
PL_013	0.8839285714285714	0.43526785714285715	0.703125	0.8035714285714286	0.8683035714285714	0.7212301587301586
PL_014	0.7073222647935291	0.2725546058879392	0.50664767331434	0.5617283950617283	0.4772079772079772	0.6980056980056979
PL_015	0.9236469293721202	0.3791753291753292	0.6643797643797643	0.6579002079002079	0.6626819126819127	0.6858974358974359
PL_016	0.9110442629995702	0.36405959031657353	0.7378957169459963	0.6985388912763215	0.6617963042544048	0.7107864202836269
PL_017	0.8321518987341774	0.3702531645569621	0.4868354430379746	0.5187341772151899	0.48683544303797466	0.5531645569620253
PL_018	0.8604010025062656	0.44511278195488724	0.6195488721804512	0.62531328320802	0.6230576441102758	0.650375939849624
PL_019	0.7308823529411764	0.3473604826546003	0.5500754147812972	0.5380090497737556	0.5449472096530921	0.565761689291101
PL_020	0.7730769230769231	0.2673992673992674	0.5732600732600732	0.545054945054945	0.46703296703296704	0.6005494505494504
PL_021	0.7155436882172481	0.17612251072235768	0.5173159402751331	0.5090583901336513	0.494668839878436	0.6207330335838459
PL_022	0.6925925925925926	0.2511111111111111	0.48111111111111104	0.5033333333333333	0.3988888888888889	0.7444444444444445
PL_023	0.6367753623188405	0.228505291005291	0.4978864734299517	0.705012077294686	0.5051328502415459	0.8070652173913042
PL_024	0.6833333333333333	0.4111111111111111	0.5611111111111111	0.5444444444444444	0.5333333333333333	0.5444444444444444
PL_025	0.8854895104895105	0.43444055944055954	0.5917832167832168	0.6652097902097903	0.6092657342657343	0.6791958041958043
