	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.7604903347477605	0.31214174048983856	0.41050026055237104	0.4121134335655788	0.396956362302897	0.4536731450922869
PL_002	0.7007630813953488	0.3588033536585366	0.46703506097560976	0.46391369047619047	0.4676339285714286	0.48586309523809523
PL_003	0.3566666666666667	0.28962962962962957	0.35777777777777775	0.3088888888888889	0.3251851851851852	0.3562962962962963
PL_004	0.7990196078431373	0.2820855614973263	0.6854575163398693	0.6413398692810457	0.6919934640522876	0.790032679738562
PL_005	0.7942045454545454	0.27551257253384914	0.4890143540669857	0.5195598086124402	0.4949473684210527	0.5573397129186604
PL_006	0.856798457087753	0.24897540983606553	0.45081967213114754	0.48770491803278687	0.43442622950819665	0.5420081967213115
PL_007	0.8564814814814814	0.3293650793650793	0.496031746031746	0.4953703703703704	0.5027777777777778	0.5768518518518517
PL_008	0.9102870813397128	0.5251196172248804	0.7212918660287081	0.7093301435406699	0.7188995215311006	0.7212918660287081
PL_009	0.8605225988700566	0.3583271923360353	0.6878531073446328	0.6348870056497176	0.6419491525423728	0.6857344632768362
PL_010	0.9127758913412563	0.6003820033955856	0.6992784380305602	0.7047962648556876	0.7039473684210525	0.7149830220713073
PL_011	0.5714285714285714	0.38757396449704146	0.4053254437869823	0.3994082840236687	0.39349112426035504	0.4289940828402367
PL_012	0.5865203761755486	0.27163636363636373	0.38363636363636366	0.3435064935064935	0.34675324675324676	0.36038961038961037
PL_013	0.8819444444444444	0.43526785714285715	0.8392857142857143	0.7271825396825395	0.7232142857142856	0.7212301587301586
PL_014	0.6511281396338868	0.2725546058879392	0.5213675213675213	0.5617283950617284	0.4824311490978157	0.6980056980056979
PL_015	0.9376533021571191	0.3791753291753292	0.6704319704319704	0.6578655578655579	0.6651420651420652	0.6858974358974359
PL_016	0.8908465835840137	0.36405959031657353	0.7143854748603352	0.6983240223463688	0.6673828964331756	0.7107864202836269
PL_017	0.8367088607594936	0.3702531645569621	0.48734177215189867	0.519240506329114	0.49291139240506326	0.5531645569620253
PL_018	0.8726495726495727	0.44511278195488724	0.625814536340852	0.625814536340852	0.619298245614035	0.650375939849624
PL_019	0.7697058823529411	0.3473604826546003	0.5307692307692307	0.53710407239819	0.5352941176470589	0.565761689291101
PL_020	0.676923076923077	0.2673992673992674	0.5885225885225885	0.5445054945054945	0.506043956043956	0.6005494505494504
PL_021	0.685125066956677	0.17612251072235768	0.49871865601252874	0.508471107472727	0.5069610689485391	0.6207330335838459
PL_022	0.7962962962962963	0.2511111111111111	0.4799999999999999	0.49666666666666665	0.4655555555555555	0.7444444444444445
PL_023	0.7315821256038647	0.228505291005291	0.49728260869565216	0.7032004830917874	0.4393115942028985	0.8064613526570048
PL_024	0.6944444444444443	0.4111111111111111	0.5611111111111111	0.5388888888888889	0.5222222222222221	0.5444444444444444
PL_025	0.8382867132867133	0.43444055944055954	0.6075174825174824	0.666958041958042	0.6040209790209791	0.6791958041958043
PL_026	0.6558048433048432	0.2137509850275808	0.3284081954294719	0.3800236406619385	0.2878250591016548	0.40524034672970843
PL_027	0.8166666666666667	0.44656862745098036	0.6879629629629629	0.6175925925925926	0.675	0.6185185185185186
PL_028	0.818652395157045	0.32661870503597124	0.5548561151079137	0.6192446043165467	0.5843525179856115	0.6620503597122303
PL_029	0.835437564856451	0.31073446327683624	0.5045831892078866	0.4836561743341404	0.5006053268765134	0.6197682462815634
PL_030	0.7338274932614556	0.3948787061994609	0.6340970350404312	0.6051212938005391	0.5963611859838275	0.6334231805929921
PL_031	0.6237244897959183	0.3314108251996451	0.4056122448979592	0.38477891156462585	0.399234693877551	0.41284013605442177
PL_032	0.8073593073593074	0.38888888888888884	0.525974025974026	0.6212121212121211	0.4653679653679653	0.6255411255411256
PL_033	0.8201357466063349	0.6640271493212669	0.6685520361990951	0.6753393665158371	0.6866515837104072	0.6798642533936652
PL_034	0.8221153846153848	0.24969951923076922	0.4639423076923077	0.4375	0.4390024038461538	0.5204326923076924
PL_035	0.5299707602339182	0.3121069182389937	0.36556603773584906	0.38810272536687634	0.3634696016771488	0.4085429769392033
PL_036	0.7333333333333333	0.4305555555555556	0.4768518518518519	0.46666666666666673	0.4583333333333333	0.47500000000000003
PL_037	0.8674999999999999	0.5152777777777777	0.7350000000000001	0.6425000000000001	0.6925	0.64
PL_038	0.8273809523809522	0.4702380952380952	0.6904761904761905	0.6994047619047619	0.7172619047619048	0.7410714285714285
PL_039	0.9498269896193772	0.3454440599769319	0.5426758938869666	0.4976931949250288	0.5299884659746251	0.5046136101499424
PL_040	0.6956696070569367	0.29401993355481726	0.4742524916943522	0.47009966777408635	0.42607973421926915	0.6226944667201282
PL_041	0.7025506376594147	0.39784053156146176	0.5323920265780732	0.5564784053156147	0.5240863787375416	0.5565891472868217
PL_042	0.7261904761904763	0.3452380952380952	0.3452380952380952	0.369047619047619	0.369047619047619	0.369047619047619
PL_043	0.7974738675958187	0.44136960600375236	0.6524390243902439	0.6108852755194218	0.6095302619692863	0.6429539295392953
PL_044	0.7917748917748918	0.24007807417046192	0.5932495744264172	0.5702940737423496	0.5721749514852963	0.6721152410807583
PL_045	0.5879120879120878	0.3324175824175824	0.4038461538461538	0.40865384615384615	0.4086538461538461	0.40625
PL_046	0.9119318181818183	0.6576704545454547	0.7329545454545455	0.7528409090909091	0.7400568181818182	0.7642045454545455
PL_047	0.904782116581777	0.30913978494623656	0.6368138087153368	0.6535087719298245	0.5717317487266553	0.7143463497453311
PL_048	0.8152542372881355	0.3336499123319696	0.6265536723163841	0.6594632768361582	0.6614406779661017	0.6887005649717515
PL_049	0.9046846846846848	0.3219753086419754	0.7188888888888889	0.6775375375375376	0.7092492492492493	0.7756756756756757
PL_050	0.7653061224489796	0.3976190476190476	0.5666666666666667	0.5142857142857143	0.46938775510204084	0.5918367346938775
PL_051	0.8015873015873016	0.3115384615384615	0.6690476190476191	0.7000000000000001	0.6023809523809524	0.7007936507936509
PL_052	0.7632478632478632	0.412087912087912	0.6401709401709401	0.6572649572649572	0.6299145299145298	0.676068376068376
PL_053	0.7135813921528207	0.2509566326530612	0.5285572562358277	0.45871985157699435	0.5029761904761905	0.5055486841201127
PL_054	0.7680330606111203	0.25680388793596337	0.4788736420811892	0.5135613207547169	0.480188679245283	0.5835298742138365
PL_055	0.7699519230769232	0.292854140395124	0.5496540496540496	0.5795292139554434	0.54640605296343	0.6377889869693149
PL_056	0.8423453259069698	0.2696475296290596	0.5744959211943974	0.5564260427889796	0.5642758196090503	0.5885142255005269
PL_057	0.760257098011166	0.20191495933285286	0.5482793098874639	0.522610319683694	0.5258843214675605	0.5576284993344062
PL_058	0.8006770211071286	0.41676622859418555	0.5374352847471127	0.5589406610911987	0.5700915969733173	0.5772600557546793
PL_059	0.7721893491124261	0.363905325443787	0.3579881656804734	0.3579881656804734	0.3461538461538462	0.37573964497041423
SD_001	0.8401360544217686	0.45918367346938777	0.5544217687074829	0.5136054421768708	0.5476190476190476	0.5068027210884354
SD_002	0.7851851851851852	0.49999999999999994	0.4841269841269841	0.5	0.5	0.5
SD_003	0.6587500000000001	0.3050595238095238	0.331845238095238	0.31657608695652173	0.3029891304347826	0.31657608695652173
SD_004	0.663235294117647	0.2120967741935484	0.23306451612903223	0.23790322580645162	0.23629032258064517	0.24758064516129027
SD_005	0.5635451505016722	0.2655677655677655	0.3681318681318681	0.3608058608058608	0.2802197802197802	0.3974358974358974
SD_006	0.7466666666666666	0.3078431372549019	0.3627450980392157	0.34705882352941175	0.3352941176470589	0.35882352941176476
SD_007	0.5965794768611671	0.25283446712018137	0.25283446712018137	0.25283446712018137	0.25283446712018137	0.25283446712018137
SD_008	0.79375	0.6875	0.6812499999999999	0.7124999999999999	0.725	0.71875
SD_009	0.7658730158730158	0.41666666666666663	0.5674603174603174	0.488095238095238	0.5515873015873016	0.6388888888888888
SD_010	0.7128571428571426	0.4928571428571428	0.4985714285714286	0.5271428571428572	0.5128571428571429	0.5314285714285716
SD_011	0.7499999999999999	0.5285714285714285	0.6142857142857142	0.5422077922077922	0.5227272727272728	0.5422077922077922
SD_012	0.7236453201970442	0.39116379310344823	0.418103448275862	0.4321120689655172	0.42564655172413784	0.43318965517241376
SD_013	0.7353801169590642	0.4834586466165413	0.5628654970760233	0.675438596491228	0.5818713450292397	0.6461988304093567
SD_014	0.838235294117647	0.5220588235294118	0.5514705882352942	0.5441176470588236	0.5477941176470589	0.5404411764705883
SD_015	0.9444444444444444	0.7444444444444445	0.8629629629629629	0.8703703703703703	0.8925925925925925	0.8555555555555556
SD_016	0.9344262295081968	0.6318306010928962	0.680327868852459	0.6837431693989071	0.6741803278688524	0.6871584699453552
SD_017	0.765625	0.640625	0.671875	0.6875	0.671875	0.6875
SD_018	0.6266163793103448	0.34134615384615385	0.5576923076923077	0.4819711538461538	0.4783653846153846	0.5360576923076923
SD_019	0.7256656804733728	0.3185064935064935	0.3449675324675324	0.36022727272727273	0.35373376623376623	0.38490259740259736
SD_020	0.8151515151515152	0.31554677206851117	0.3458498023715415	0.3590250329380764	0.3458498023715415	0.37220026350461133
SD_021	0.6567460317460316	0.4254201680672269	0.4611344537815125	0.47163865546218486	0.4464285714285714	0.4737394957983193
SD_022	0.7132850241545894	0.3516651665166517	0.37257206208425714	0.38862527716186246	0.3820177383592018	0.4283592017738359
SD_023	0.3875	0.3875	0.4	0.3875	0.3875	0.3875
SD_024	0.6688311688311689	0.5129870129870129	0.551948051948052	0.5357142857142856	0.4880952380952381	0.5357142857142856
SD_025	0.75	0.4722222222222222	0.5555555555555556	0.5555555555555556	0.5	0.5555555555555556
SD_026	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
SD_027	0.5833333333333334	0.47500000000000003	0.47500000000000003	0.47500000000000003	0.47500000000000003	0.47500000000000003
SD_028	0.7	0.44285714285714284	0.44285714285714284	0.44285714285714284	0.44285714285714284	0.44285714285714284
SD_029	0.6000000000000001	0.5	0.5	0.5	0.5	0.5
SD_030	0.4583333333333333	0.4583333333333333	0.4583333333333333	0.4583333333333333	0.4583333333333333	0.4583333333333333
