	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.7194719471947194	0.31214174048983856	0.4381188118811882	0.41186896467424516	0.39830094120523163	0.4536731450922869
PL_002	0.6578851744186047	0.3588033536585366	0.47008384146341464	0.4631696428571428	0.45275297619047616	0.48586309523809523
PL_003	0.77	0.28962962962962957	0.3725925925925926	0.3074074074074074	0.3296296296296296	0.3562962962962963
PL_004	0.8464052287581698	0.2820855614973263	0.6854575163398693	0.6683006535947711	0.6380718954248366	0.790032679738562
PL_005	0.7254924242424241	0.27551257253384914	0.47902392344497613	0.5196746411483254	0.49046889952153105	0.5573397129186604
PL_006	0.7391513982642237	0.24897540983606553	0.43647540983606553	0.4887295081967213	0.44877049180327866	0.5420081967213115
PL_007	0.6249999999999999	0.3293650793650793	0.503968253968254	0.4935185185185185	0.45648148148148143	0.5768518518518517
PL_008	0.9031100478468898	0.5251196172248804	0.7404306220095693	0.7093301435406699	0.7045454545454546	0.7212918660287081
PL_009	0.7842514124293787	0.3583271923360353	0.6500706214689267	0.6327683615819208	0.6497175141242938	0.6857344632768362
PL_010	0.9216893039049235	0.6003820033955856	0.6950339558573854	0.7043718166383701	0.6933361629881154	0.7149830220713073
PL_011	0.7252747252747254	0.38757396449704146	0.4467455621301776	0.3994082840236687	0.4171597633136095	0.4289940828402367
PL_012	0.6655844155844155	0.27163636363636373	0.38363636363636366	0.33961038961038964	0.3474025974025974	0.36038961038961037
PL_013	0.8521825396825395	0.43526785714285715	0.7857142857142857	0.8147321428571428	0.7648809523809523	0.7212301587301586
PL_014	0.7009365687526607	0.2725546058879392	0.49572649572649574	0.5612535612535612	0.5128205128205128	0.6980056980056979
PL_015	0.9005169291428834	0.3791753291753292	0.6572765072765073	0.6579233079233079	0.667983367983368	0.6858974358974359
PL_016	0.792436613665664	0.36405959031657353	0.7148510242085662	0.6976794155565106	0.6529866781263429	0.7107864202836269
PL_017	0.9020253164556962	0.3702531645569621	0.48379746835443027	0.519240506329114	0.4944303797468354	0.5531645569620253
PL_018	0.8816849816849817	0.44511278195488724	0.625814536340852	0.6243107769423559	0.618796992481203	0.650375939849624
PL_019	0.805	0.3473604826546003	0.5473604826546004	0.5374057315233786	0.5358974358974359	0.565761689291101
PL_020	0.7104395604395605	0.2673992673992674	0.5561660561660562	0.5445054945054945	0.5561660561660562	0.6005494505494504
PL_021	0.7701803366500559	0.17612251072235768	0.5227082628890748	0.5082753465857521	0.4871984244214672	0.6207330335838459
PL_022	0.6428571428571428	0.2511111111111111	0.5144444444444444	0.5022222222222222	0.44333333333333336	0.7444444444444445
PL_023	0.686292270531401	0.228505291005291	0.5063405797101449	0.706219806763285	0.47192028985507245	0.8070652173913042
PL_024	0.6388888888888888	0.4111111111111111	0.55	0.5388888888888889	0.5333333333333332	0.5444444444444444
PL_025	0.8138111888111887	0.43444055944055954	0.5952797202797203	0.666958041958042	0.6092657342657343	0.6791958041958043
PL_026	0.2986772486772486	0.2137509850275808	0.32762017336485416	0.3812056737588652	0.282702915681639	0.4064223798266351
PL_027	0.8833333333333332	0.44656862745098036	0.6898148148148148	0.6194444444444445	0.6601851851851852	0.6185185185185186
