"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1,7.05128205128205,5,7.05,9,0.260551205155285
"pl2",1,5.55555555555556,5,1.05,6,0.217381324898051
"pl3",1,8.27505827505827,5,18.05,12,0.281484545251365
"pl4",1,6.56565656565656,5,5.05,8,0.24701783735901
"pl5",1.4,5.66666666666667,4,0.04,7,0.227701870237544
"pl6",1,5,5,0.05,5,0.198805626234265
"pl7",1.4,4,4,0.04,4,0.170859368798024
"pl8",2.2,2,2,0.02,2,0.0921619314678922
"pl9",1.4,4,4,0.04,4,0.170859368798024
"pl10",1.4,4,4,0.04,4,0.170859368798024
"pl11",1.4,4,4,0.04,4,0.159724898316432
"pl12",1.8,3,3,0.03,3,0.120108188904133
"pl13",1.8,3,3,0.03,3,0.131242659385725
"pol1",1,10.1370851370851,5,12.05,13,0.335918356762734
"pol2",1,10.1370851370851,5,12.05,13,0.335918356762734
"pol3",1,8.57142857142857,5,5.05,10,0.288795595191326
"pol4",1,8.41269841269841,5,6.05,10,0.284888428316492
"pol5",1,6.26984126984127,5,3.05,7,0.20372100988185
"pol6",1.8,3.71428571428571,4,0.04,4,0.139477561963491
"pol7",2.6,1,1,0.01,1,0.0386137864252691
"pol8",1.8,3.71428571428571,4,0.04,4,0.139477561963491
"pol9",1.8,3.71428571428571,4,0.04,4,0.135412052926271
"pol10",2.6,1,1,0.01,1,0.0357421704261892
"pol11",2.6,1,1,0.01,1,0.0386137864252691
"pol12",2.2,2,2,0.02,2,0.0724994621254927
"pol13",2.6,1,1,0.01,1,0.0386137864252691
